State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
Georgia,Douglas,241813.0,0.0,0.0,0.0,241813.0
California,Lake,241723.0,0.0,0.0,0.0,241723.0
South Carolina,Edgefield,241660.0,0.0,0.0,0.0,241660.0
Florida,Wakulla,239362.0,1814.0,0.0,365.0,241541.0
Georgia,Henry,241013.0,0.0,0.0,0.0,241013.0
Florida,Indian River,240395.0,0.0,0.0,0.0,240395.0
Vermont,Bennington,239839.0,0.0,0.0,0.0,239839.0
Missouri,Sainte Genevieve,219824.5,0.0,19847.0,0.0,239671.5
Pennsylvania,Armstrong,239348.0,0.0,0.0,0.0,239348.0
Georgia,Gwinnett,238318.0,0.0,0.0,0.0,238318.0
Texas,Victoria,238090.0,0.0,0.0,0.0,238090.0
Wisconsin,Taylor,236717.0,0.0,0.0,0.0,236717.0
Illinois,Rock Island,233359.0,0.0,0.0,3277.0,236636.0
North Carolina,Swain,231872.0,0.0,0.0,4262.0,236134.0
Georgia,Murray,235798.0,0.0,0.0,0.0,235798.0
Iowa,Clinton,183706.5,0.0,0.0,51975.0,235681.5
Texas,Bell,231830.0,0.0,2813.0,0.0,234643.0
Massachusetts,Norfolk,193013.0,0.0,41316.0,0.0,234329.0
South Carolina,Chesterfield,234138.0,0.0,0.0,0.0,234138.0
Georgia,Cobb,234041.0,0.0,0.0,0.0,234041.0
West Virginia,Gilmer,233927.5,0.0,0.0,0.0,233927.5
Ohio,Trumbull,233367.0,0.0,0.0,0.0,233367.0
West Virginia,Marshall,0.0,0.0,0.0,233279.0,233279.0
South Dakota,Jackson,219550.0,0.0,6896.0,6485.0,232931.0
Kentucky,Christian,230152.5,0.0,0.0,2768.0,232920.5
North Carolina,Lincoln,227124.0,0.0,0.0,5233.0,232357.0
Florida,Highlands,232168.0,0.0,0.0,0.0,232168.0
Pennsylvania,Tioga,223872.0,0.0,8074.0,0.0,231946.0
Tennessee,Wilson,231602.0,0.0,0.0,0.0,231602.0
Ohio,Clinton,231445.0,0.0,0.0,0.0,231445.0
Ohio,Lorain,184435.0,0.0,0.0,46604.0,231039.0
Kentucky,Oldham,230945.0,0.0,0.0,0.0,230945.0
Tennessee,Williamson,230660.0,0.0,0.0,0.0,230660.0
North Carolina,Person,215655.0,0.0,0.0,14887.0,230542.0
Ohio,Warren,230356.0,0.0,0.0,0.0,230356.0
New York,Jefferson,229957.0,0.0,0.0,0.0,229957.0
Alaska,Denali ,229938.0,0.0,0.0,0.0,229938.0
New York,Richmond,226009.0,0.0,0.0,3194.0,229203.0
Massachusetts,Barnstable,222141.0,0.0,6977.0,0.0,229118.0
Kansas,Leavenworth,229078.0,0.0,0.0,0.0,229078.0
Ohio,Licking,228695.0,0.0,0.0,0.0,228695.0
New Hampshire,Coos,205568.0,0.0,0.0,23115.0,228683.0
North Carolina,Granville,226823.0,1475.0,0.0,0.0,228298.0
South Carolina,Cherokee,227419.0,0.0,0.0,0.0,227419.0
Kansas,Johnson,226795.0,0.0,0.0,0.0,226795.0
Pennsylvania,Franklin,226617.0,0.0,0.0,0.0,226617.0
Arizona,Yavapai,226106.0,0.0,0.0,0.0,226106.0
New York,Orange,225972.0,0.0,0.0,0.0,225972.0
Alabama,Morgan,225708.0,0.0,0.0,0.0,225708.0
Arkansas,Polk,224828.0,0.0,0.0,0.0,224828.0
Wyoming,Uinta,200619.0,1233.0,22153.0,755.0,224760.0
Alabama,Colbert,184227.5,0.0,5314.0,34928.0,224469.5
Maryland,Cecil,223884.0,0.0,0.0,0.0,223884.0
Pennsylvania,Clearfield,223787.0,0.0,0.0,0.0,223787.0
New Mexico,Valencia,223314.0,0.0,0.0,0.0,223314.0
Indiana,Clark,223150.0,0.0,0.0,0.0,223150.0
Wisconsin,Sheboygan,222787.5,0.0,0.0,0.0,222787.5
North Carolina,Alexander,218512.0,0.0,0.0,3673.0,222185.0
North Carolina,Rockingham,219697.0,0.0,0.0,2450.0,222147.0
North Carolina,Durham,210582.0,9953.5,0.0,1397.0,221932.5
Michigan,Missaukee,208013.0,2488.0,9418.0,1870.0,221789.0
Ohio,Madison,220783.0,0.0,0.0,0.0,220783.0
Kentucky,Simpson,219955.0,0.0,0.0,0.0,219955.0
Maryland,Kent,219312.0,0.0,0.0,0.0,219312.0
South Dakota,Custer,213770.0,0.0,2932.0,1889.0,218591.0
Mississippi,Bolivar,218289.0,0.0,0.0,0.0,218289.0
North Carolina,Yancey,217686.0,0.0,0.0,0.0,217686.0
Georgia,Dawson,217134.0,0.0,0.0,0.0,217134.0
Ohio,Geauga,216913.0,0.0,0.0,0.0,216913.0
New Hampshire,Cheshire,187339.0,940.0,0.0,28441.0,216720.0
Wisconsin,Forest,200005.0,0.0,3660.0,12646.0,216311.0
North Carolina,Caswell,213941.0,2340.0,0.0,0.0,216281.0
Mississippi,Lee,215615.0,0.0,0.0,0.0,215615.0
New Mexico,Santa Fe,197988.0,17512.0,0.0,0.0,215500.0
California,Siskiyou,214884.0,0.0,0.0,0.0,214884.0
South Carolina,Anderson,213182.0,0.0,0.0,1590.0,214772.0
North Carolina,Union,214459.0,0.0,0.0,0.0,214459.0
South Carolina,Colleton,214084.0,0.0,0.0,0.0,214084.0
Florida,Collier,213147.0,0.0,0.0,0.0,213147.0
Louisiana,St. Charles,204710.0,0.0,0.0,8437.0,213147.0
Ohio,Greene,212746.0,0.0,0.0,0.0,212746.0
Minnesota,Hennepin,52085.0,33221.5,87154.0,40131.5,212592.0
Maine,Penobscot,212555.66666666648,0.0,0.0,0.0,212555.66666666648
Kentucky,Hardin,212509.0,0.0,0.0,0.0,212509.0
Maryland,Charles,212252.0,0.0,0.0,0.0,212252.0
Maryland,Carroll,212225.0,0.0,0.0,0.0,212225.0
Ohio,Miami,212217.0,0.0,0.0,0.0,212217.0
New York,Chemung,172438.0,0.0,0.0,39544.0,211982.0
Ohio,Washington,211946.0,0.0,0.0,0.0,211946.0
Ohio,Delaware,211654.0,0.0,0.0,0.0,211654.0
Maryland,Frederick,211560.0,0.0,0.0,0.0,211560.0
Maryland,Washington,211384.0,0.0,0.0,0.0,211384.0
North Carolina,Edgecombe,209225.0,0.0,0.0,2047.0,211272.0
North Carolina,Johnston,210932.0,0.0,0.0,0.0,210932.0
Ohio,Medina,201822.0,1515.0,4289.0,2995.0,210621.0
Wisconsin,Sauk,204168.0,0.0,3151.0,2978.0,210297.0
Illinois,DuPage,205031.0,0.0,0.0,5235.0,210266.0
Texas,Navarro,141321.0,0.0,27986.0,40576.0,209883.0
Alabama,Montgomery,208292.0,0.0,0.0,0.0,208292.0
Illinois,Hamilton,208243.0,0.0,0.0,0.0,208243.0
Ohio,Knox,206889.0,0.0,0.0,0.0,206889.0
Georgia,Sumter,206473.0,0.0,0.0,0.0,206473.0
Tennessee,Meigs,188661.0,3949.0,9284.0,4027.0,205921.0
New York,Ulster,190700.0,0.0,0.0,15137.0,205837.0
Alabama,Baldwin,205766.0,0.0,0.0,0.0,205766.0
North Carolina,Caldwell,205208.0,0.0,0.0,539.0,205747.0
Kentucky,Pulaski,205464.0,0.0,0.0,0.0,205464.0
Washington,Clallam,191438.5,3973.0,0.0,9659.0,205070.5
Missouri,Cass,204724.0,0.0,0.0,0.0,204724.0
North Carolina,Pitt,202057.0,0.0,0.0,2544.0,204601.0
Missouri,Cedar,202166.5,0.0,2270.0,0.0,204436.5
Illinois,Jersey,204365.0,0.0,0.0,0.0,204365.0
Indiana,Gibson,42317.0,0.0,32940.0,128847.0,204104.0
Indiana,Greene,204091.0,0.0,0.0,0.0,204091.0
Virginia,Caroline,189390.0,0.0,14387.0,0.0,203777.0
Puerto Rico,Catano,91263.0,0.0,40083.0,72091.33333333331,203437.3333333333
Maryland,Montgomery,203187.0,0.0,0.0,0.0,203187.0
Kentucky,Boone,203049.0,0.0,0.0,0.0,203049.0
North Carolina,Martin,194930.0,0.0,0.0,7829.0,202759.0
Indiana,Shelby,201966.0,0.0,0.0,0.0,201966.0
Indiana,Boone,201672.0,0.0,0.0,0.0,201672.0
Kentucky,Carter,201469.0,0.0,0.0,0.0,201469.0
Alabama,Elmore,201275.0,0.0,0.0,0.0,201275.0
Wyoming,Laramie,154605.5,3148.0,40652.5,2628.0,201034.0
New Jersey,Passaic,200762.0,0.0,0.0,0.0,200762.0
Arizona,La Paz,196541.0,1066.0,2197.0,661.0,200465.0
Texas,McLennan,163862.0,6502.0,25934.0,3076.0,199374.0
West Virginia,Greenbrier,198747.0,0.0,0.0,0.0,198747.0
Georgia,Clarke,198620.0,0.0,0.0,0.0,198620.0
Tennessee,McMinn,9403.0,0.0,91724.0,97101.0,198228.0
Ohio,Wood,198023.0,0.0,0.0,0.0,198023.0
Michigan,Berrien,197913.0,0.0,0.0,0.0,197913.0
Indiana,Hamilton,197815.0,0.0,0.0,0.0,197815.0
Mississippi,Lauderdale,197517.0,0.0,0.0,0.0,197517.0
Virginia,Stafford,197157.0,0.0,0.0,0.0,197157.0
New York,Schenectady,131749.0,28600.0,0.0,36754.0,197103.0
North Carolina,Lenoir,197000.0,0.0,0.0,0.0,197000.0
South Carolina,Abbeville,196732.0,0.0,0.0,0.0,196732.0
New York,Wayne,196731.0,0.0,0.0,0.0,196731.0
Kentucky,Perry,196355.0,0.0,0.0,0.0,196355.0
Virginia,Suffolk City,196298.5,0.0,0.0,0.0,196298.5
Virginia,Hanover,196284.0,0.0,0.0,0.0,196284.0
Oklahoma,Sequoyah,149131.0,0.0,47110.0,0.0,196241.0
New York,Madison,172615.0,0.0,0.0,23076.0,195691.0
Iowa,Van Buren,179790.0,0.0,8002.0,7511.5,195303.5
Texas,Randall,194983.0,0.0,0.0,0.0,194983.0
Nebraska,Lancaster,149432.0,43090.0,0.0,2030.0,194552.0
Michigan,Allegan,194427.0,0.0,0.0,0.0,194427.0
Virginia,Wythe,194323.0,0.0,0.0,0.0,194323.0
